Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total
圓山大飯店,500,10279,0.6632,3728,38322949,49740298,98011134,124,252,136,50,562
國賓大飯店,422,9435,0.7212,3530,33305059,85656473,127380601,121,352,47,92,612
台北華國大飯店,326,8114,0.8029,2907,23589768,15512317,41920605,86,74,4,48,212
華泰王子大飯店,210,5142,0.7899,2937,15103143,13139627,30892316,78,91,75,11,255
國王大飯店,97,1721,0.5723,1702,2929840,712643,3734137,35,12,20,0,67
豪景大酒店,209,4463,0.6888,2111,9420123,1817804,11500496,48,18,15,0,81
台北凱撒大飯店,478,12564,0.8479,3494,43900894,27598875,76492706,108,121,22,48,299
康華大飯店,215,4179,0.627,2351,9825603,12231609,23075604,58,82,36,0,176
神旺大飯店,268,7288,0.8772,2793,20355686,35926697,61194964,96,218,58,0,372
兄弟大飯店,250,4500,0.5806,3429,15429072,42785866,62787423,110,295,72,13,490
三德大飯店,284,7001,0.7952,1835,12845775,7538349,22474781,60,75,7,44,186
亞都麗緻大飯店,209,2995,0.4623,4230,12670023,12863362,30893570,79,108,35,43,265
國聯大飯店,243,4940,0.6558,2031,10033991,1702563,12916144,64,30,6,46,146
台北寒舍喜來登大飯店,688,13992,0.656,5340,74712285,113199050,207426629,208,444,253,34,939
老爺大酒店,202,5610,0.8959,4814,27006408,32434345,66714759,77,143,25,46,291
福華大飯店,606,9640,0.5131,3982,38390000,48575000,104850000,216,310,76,76,678
台北君悅酒店,850,18786,0.7129,5989,112501830,105311716,244878385,134,359,172,73,738
晶華酒店,538,12866,0.7714,5693,73246492,168680327,296238047,294,602,171,21,1088
西華大飯店,343,7505,0.7058,4339,32563743,20968348,59720494,121,168,37,79,405
香格里拉台北遠東國際大飯店,420,6884,0.5287,6796,46783494,62101487,124880067,160,225,68,83,536
台北威斯汀六福皇宮,288,6167,0.6907,6104,37641377,67352374,114815944,121,321,202,0,644
美麗信花園酒店,203,5220,0.8295,2237,11674800,5646451,23365733,75,60,35,0,170
台北寒舍艾美酒店,160,3664,0.7387,8758,32089354,63472060,110098843,93,214,0,96,403
台北W飯店,405,9389,0.7478,8102,76067118,65101204,158966001,165,193,110,0,468
台北萬豪酒店,318,6054,0.6141,5906,35754446,68691865,126970616,139,311,115,0,565
台北美福大飯店,146,2231,0.4929,6545,14601483,49227990,69556331,63,247,78,0,388
亞士都飯店,40,363,0.2927,2587,939165,0,939165,13,0,6,0,19
第一大飯店,176,3003,0.5504,1686,5063086,3079560,25909346,13,0,19,13,45
六福客棧,226,5142,0.7339,1548,7961886,7811611,16392516,44,61,7,21,133
洛碁大飯店花華本館,112,3022,0.8704,1856,5608573,0,5608573,9,0,2,8,19
歐華酒店,112,1390,0.4003,3259,4530095,5400141,11071170,42,47,30,0,119
慶泰大飯店,150,3292,0.708,2904,9561029,7271599,17431886,34,60,31,12,137
天成大飯店,225,6422,0.9207,3137,20144332,39174746,63119329,93,91,50,58,292
福容大飯店 台北一館,120,1945,0.5228,3090,6009394,13835980,21755060,40,66,7,11,124
首都大飯店,100,2466,0.7955,3422,8438657,2624165,13432722,30,36,50,0,116
台北君品大酒店,286,7376,0.8319,4388,32363263,46230047,82385660,119,174,69,0,362
台北花園大酒店,241,6387,0.8549,2236,14282263,24725518,44100713,74,109,41,28,252
日勝生加賀屋國際溫泉飯店,90,1603,0.5746,7231,11590573,10219345,30620998,76,55,36,13,180
北投麗禧溫泉酒店,66,1378,0.6735,14198,19564478,11870694,39498299,38,69,3,72,182
寒舍艾麗酒店,232,5066,0.7044,6005,30423850,29265460,65796675,90,116,59,0,265
北投老爺酒店,50,999,0.6445,5803,5796859,2788254,9885602,21,31,1,38,91
台北有園飯店,56,1201,0.6918,2769,3325492,169841,3709471,10,6,4,3,23
量子酒店,101,1921,0.6135,3497,6717995,4698861,12631436,33,33,21,0,87
台北中山雅樂軒酒店,88,2307,0.8457,3979,9178843,549215,10840847,19,14,16,4,53
