Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total
圓山大飯店,500,9199,0.5935,3871,35607573,52789026,99957447,134,286,160,58,638
國賓大飯店,422,9047,0.6916,3787,34265491,72690961,114468510,111,336,46,72,565
台北華國大飯店,326,6340,0.6274,2993,18974078,7968525,49878783,82,71,4,47,204
華泰王子大飯店,210,4754,0.7303,2904,13804064,10664811,26825762,76,85,72,10,243
國王大飯店,97,1725,0.5737,1613,2782892,697287,3578859,35,12,20,0,67
豪景大酒店,209,4028,0.6217,1909,7688977,2266218,10219136,43,17,12,0,72
台北凱撒大飯店,478,11085,0.7481,3432,38043800,20744949,63949840,104,122,22,44,292
康華大飯店,215,3315,0.4974,2436,8074055,10346774,19180515,57,80,36,0,173
神旺大飯店,268,6484,0.7805,2744,17793942,29270253,51183453,84,218,67,0,369
兄弟大飯店,250,4609,0.5947,3325,15323404,42717043,62507718,110,295,72,13,490
三德大飯店,277,6380,0.743,1719,10969686,5833738,20749605,57,61,6,43,167
亞都麗緻大飯店,209,3766,0.5813,4114,15491571,17805575,39189331,75,104,36,41,256
國聯大飯店,243,4789,0.6357,2042,9778576,1434581,12458413,67,31,6,45,149
台北寒舍喜來登大飯店,688,13464,0.6313,5302,71387473,104113212,194125941,193,422,250,32,897
老爺大酒店,202,5685,0.9079,4771,27121829,24457555,58894880,77,144,25,45,291
福華大飯店,606,8059,0.429,4075,32842000,44705000,94910000,206,294,67,74,641
台北君悅酒店,850,20552,0.78,5925,121760996,97789425,247490815,126,350,176,75,727
晶華酒店,538,12121,0.7268,5869,71141064,152529272,292248607,278,575,166,20,1039
西華大飯店,343,7284,0.685,4454,32440367,22658692,61648515,112,157,37,78,384
香格里拉台北遠東國際大飯店,420,7771,0.5969,6378,49561945,53568596,120247883,158,217,67,82,524
台北威斯汀六福皇宮,288,6888,0.7715,5836,40199002,55240256,105462254,176,272,151,0,599
美麗信花園酒店,203,5062,0.8044,2292,11601618,6623086,24309409,80,68,31,0,179
台北寒舍艾美酒店,160,4109,0.8284,8943,36745225,58133965,109349591,100,236,0,71,407
台北W飯店,405,10402,0.8285,8249,85810647,52299445,156601975,161,199,104,0,464
台北萬豪酒店,318,7911,0.8025,5843,46226524,60999358,144811055,137,309,127,0,573
台北美福大飯店,146,2089,0.4616,6374,13316197,50442230,68635429,59,241,70,0,370
亞士都飯店,40,312,0.2516,2446,763071,0,763071,13,0,5,0,18
第一大飯店,176,3204,0.5872,1608,5150936,3310397,26373300,14,0,19,12,45
六福客棧,226,4030,0.5752,1430,5761951,8134455,14448095,42,83,7,26,158
洛碁大飯店花華本館,112,2470,0.7114,1815,4483801,0,4483801,9,0,2,8,19
歐華酒店,112,1130,0.3255,3238,3659035,5621773,10464764,41,48,28,0,117
慶泰大飯店,150,3232,0.6951,2818,9107439,5593966,15159417,32,59,30,12,133
天成大飯店,225,6302,0.9035,2994,18870970,21702337,43041001,76,129,50,63,318
福容大飯店 台北一館,120,2234,0.6005,2904,6488443,9337000,16917225,40,70,7,11,128
首都大飯店,129,3249,0.8125,3206,10415122,3346825,14010593,29,39,38,0,106
台北君品大酒店,286,6331,0.7141,4669,29558855,47065152,80719276,130,167,71,0,368
台北花園大酒店,241,5957,0.7973,2403,14312019,19025597,36579677,63,99,28,27,217
日勝生加賀屋國際溫泉飯店,90,1156,0.4143,5631,6509368,6450553,15714373,79,59,37,14,189
北投麗禧溫泉酒店,66,896,0.4379,12123,10862285,8907606,23021708,38,75,4,70,187
寒舍艾麗酒店,232,5747,0.7991,6145,35314815,24022458,65525020,84,113,52,0,249
北投老爺酒店,50,613,0.3955,4915,3013191,2112305,5959060,21,30,19,20,90
台北有園飯店,56,1280,0.7373,2536,3246565,241946,3629697,8,6,7,3,24
量子酒店,101,1954,0.6241,3518,6874945,4779846,12856333,35,38,20,0,93
台北中山雅樂軒酒店,88,2420,0.8871,4009,9701559,672534,11637459,20,14,16,5,55
