Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total
圓山大飯店,500,10012,0.6675,3755,37591034,53702685,102929921,136,287,124,59,606
國賓大飯店,422,9945,0.7855,3784,37627321,89585035,135116834,104,310,46,82,542
台北華國大飯店,326,7047,0.7206,3004,21171587,9670368,33494244,85,69,4,46,204
華泰王子大飯店,212,5590,0.8789,2858,15976523,10299106,28527568,74,84,69,10,237
國王大飯店,97,1811,0.6223,1480,2679918,740594,3508785,35,12,20,0,67
豪景大酒店,209,4365,0.6962,1902,8300811,2544288,11123421,42,17,13,0,72
台北凱撒大飯店,478,12141,0.8467,3298,40038318,22407065,67611778,97,112,32,45,286
康華大飯店,215,4607,0.7143,2437,11229256,10451582,22342148,56,81,35,0,172
神旺大飯店,268,7039,0.8755,2740,19287817,30317458,53840555,83,221,67,0,371
兄弟大飯店,250,5104,0.6805,3518,17955336,39361882,61464581,110,295,72,13,490
三德大飯店,277,6832,0.8221,1785,12197609,5819462,21334967,52,63,6,43,164
亞都麗緻大飯店,209,4051,0.6461,4182,16940393,13328774,35533488,75,100,38,42,255
國聯大飯店,243,5397,0.7403,2244,12111054,1562196,15127793,66,31,6,40,143
台北寒舍喜來登大飯店,688,12763,0.6184,5142,65626917,101528980,184951827,195,425,245,32,897
老爺大酒店,202,5576,0.9201,4701,26212744,25300756,58885958,77,140,25,44,286
福華大飯店,606,8920,0.4906,4170,37193000,43469000,99434000,206,293,67,75,641
台北君悅酒店,850,19624,0.7696,7342,144079171,114579715,290255851,122,350,175,73,720
晶華酒店,538,13449,0.8333,5314,71468107,138734568,260844755,273,567,167,19,1026
西華大飯店,343,7492,0.7281,4400,32965413,22075141,61074496,107,154,36,79,376
香格里拉台北遠東國際大飯店,420,9077,0.7204,5884,53405894,62867891,133870968,162,217,69,79,527
台北威斯汀六福皇宮,288,5161,0.5973,6432,33194864,57465745,99440237,171,306,121,0,598
美麗信花園酒店,203,5240,0.8604,2358,12353889,6505965,25244676,82,68,33,0,183
台北寒舍艾美酒店,160,4236,0.8825,9257,39213311,68878397,123938713,94,236,0,74,404
台北W飯店,405,9712,0.7993,8871,86159590,54504423,158548450,160,202,109,0,471
台北萬豪酒店,318,7508,0.787,5780,43394160,59633782,132167117,130,302,113,0,545
台北美福大飯店,146,2229,0.5089,6679,14886547,59267706,79130829,56,230,73,0,359
亞士都飯店,40,470,0.3917,2450,1151309,0,1151309,12,0,6,0,18
第一大飯店,176,3077,0.5828,1582,4867606,3192163,27036489,15,0,18,13,46
六福客棧,226,4673,0.6892,1399,6537641,7322789,14399885,40,70,10,7,127
洛碁大飯店花華本館,112,2428,0.7226,1783,4330040,0,4330040,9,0,2,8,19
歐華酒店,112,1491,0.4438,3293,4909788,5408959,11893785,44,51,29,0,124
慶泰大飯店,150,3236,0.7191,2912,9422728,6112266,16075411,32,59,31,12,134
天成大飯店,225,6364,0.9428,3127,19898305,23306838,45811843,72,131,50,66,319
福容大飯店 台北一館,120,2960,0.8222,3094,9158768,9684863,20120058,36,69,7,11,123
首都大飯店,129,2987,0.7718,3110,9288598,2980092,12472813,29,37,38,0,104
台北君品大酒店,286,6818,0.7946,4763,32473725,52931475,89984455,126,164,70,0,360
台北花園大酒店,241,6399,0.8851,2451,15682634,21069250,40468960,59,90,27,28,204
日勝生加賀屋國際溫泉飯店,90,831,0.3078,5873,4880123,5129400,12625895,78,62,37,14,191
北投麗禧溫泉酒店,66,845,0.4268,12505,10567004,7343224,20493244,38,76,4,74,192
寒舍艾麗酒店,232,5595,0.8039,6236,34891554,27126575,68092727,83,116,55,0,254
北投老爺酒店,50,606,0.404,5305,3214666,2051992,6114891,19,26,19,19,83
台北有園飯店,56,1301,0.7744,2533,3295586,225095,3872106,11,6,7,1,25
量子酒店,101,2025,0.6683,3657,7405668,3767492,12323773,33,39,20,0,92
台北中山雅樂軒酒店,88,2421,0.917,4137,10015503,669624,11952370,19,14,17,4,54
