Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total
圓山大飯店,500,9476,0.6114,3902,36973877,53452189,103673428,121,249,130,55,555
The Grand Hotel,,,,,,,,,,,,
國賓大飯店,422,11030,0.8431,3951,43584970,82648244,134768411,116,338,49,87,590
The Ambassador Hotel,,,,,,,,,,,,
台北華國大飯店,326,8089,0.8004,2754,22280539,11301394,35896236,85,71,4,48,208
Imperial Hotel Taipei,,,,,,,,,,,,
華泰王子大飯店,210,5567,0.8551,2879,16029023,10476358,28900103,78,87,72,11,248
GLORIA PRINCE HOTEL Taipei,,,,,,,,,,,,
國王大飯店,97,2272,0.7556,1574,3576410,991032,4663244,35,12,20,0,67
Emperor Hotel,,,,,,,,,,,,
豪景大酒店,209,5040,0.7779,2115,10661598,1663703,12594096,46,18,15,0,79
Hotel Riverview Taipei,,,,,,,,,,,,
台北凱撒大飯店,478,13922,0.9395,3595,50046777,23460005,78696845,111,126,22,44,303
Caesar Park Taipei,,,,,,,,,,,,
康華大飯店,215,5282,0.7925,2512,13269050,12066016,26247224,60,81,36,0,177
Golden China Hotel,,,,,,,,,,,,
神旺大飯店,268,7819,0.9411,2426,18972437,33306497,56714438,98,229,58,0,385
San Want Hotel,,,,,,,,,,,,
兄弟大飯店,250,5707,0.7364,3451,19692696,40694041,64738424,110,295,72,13,490
Brother Hotel,,,,,,,,,,,,
三德大飯店,284,8085,0.9183,1796,14520818,7122085,24877409,58,67,7,45,177
Santos Hotel,,,,,,,,,,,,
亞都麗緻大飯店,209,2960,0.4569,4347,12866514,14398779,31747372,77,112,37,41,267
The Landis Taipei Hotel,,,,,,,,,,,,
國聯大飯店,243,5162,0.6853,2139,11040607,1760311,14161145,64,31,6,45,146
United Hotel,,,,,,,,,,,,
台北寒舍喜來登大飯店,688,14821,0.6949,5289,78381671,114555370,212341505,198,429,253,33,913
Sheraton Grand Taipei Hotel,,,,,,,,,,,,
老爺大酒店,202,6064,0.9684,4913,29790214,24032380,61369452,80,145,26,45,296
Hotel Royal-Nikko Taipei,,,,,,,,,,,,
福華大飯店,606,12193,0.649,3923,47828000,39232000,103807000,205,299,73,77,654
Howard Plaza Hotel,,,,,,,,,,,,
台北君悅酒店,850,20605,0.782,5968,122968507,95578992,246501660,135,349,171,75,730
Grand Hyatt Taipei,,,,,,,,,,,,
晶華酒店,538,13598,0.8153,5642,76721597,144456611,275815707,288,585,172,20,1065
Regent Taipei,,,,,,,,,,,,
西華大飯店,343,8895,0.8365,4386,39011368,22852237,68122795,113,156,36,77,382
The Sherwood Hotel Taipei,,,,,,,,,,,,
香格里拉台北遠東國際大飯店,420,8745,0.6717,6711,58686733,57396878,133923512,161,221,69,81,532
"Shangri-La's Far Eastern Plaza Hotel, Taipei",,,,,,,,,,,,
台北威斯汀六福皇宮,288,7505,0.8406,5885,44169907,59930189,115317659,196,256,197,0,649
The Westin Taipei,,,,,,,,,,,,
美麗信花園酒店,203,5589,0.8881,2155,12043875,5316883,23800169,83,67,30,0,180
Miramar Garden Taipei,,,,,,,,,,,,
台北寒舍艾美酒店,160,4159,0.8385,8386,34876644,63439405,113024888,96,238,0,72,406
Le Meridien Taipei Hotel,,,,,,,,,,,,
台北W飯店,405,10672,0.85,8591,91682799,55310398,165742577,158,200,107,0,465
W Taipei,,,,,,,,,,,,
台北萬豪酒店,318,7998,0.8113,6621,52956960,68787664,154464319,136,334,91,0,561
Taipei Marriott Hotel,,,,,,,,,,,,
台北美福大飯店,146,2274,0.5024,6581,14964388,50628370,71429314,58,238,71,0,367
Grand Mayfull Hotel Taipei,,,,,,,,,,,,
桃禧航空城酒店,187,2897,0.4997,1871,5419181,11449212,18343983,53,75,41,6,175
HOTEL ORCHARD PARK,,,,,,,,,,,,
亞士都飯店,40,570,0.4597,2455,1399265,0,1399265,13,0,6,0,19
Astar Hotel,,,,,,,,,,,,
第一大飯店,176,3775,0.6919,1687,6368365,3390499,27858188,14,0,21,13,48
First Hotel,,,,,,,,,,,,
六福客棧,226,6107,0.8717,1520,9282242,8168154,18003872,41,59,6,23,129
The Leofoo Hotel,,,,,,,,,,,,
洛碁大飯店花華本館,112,3205,0.9231,1836,5885552,0,5885552,9,0,2,8,19
Flora Hotel Main,,,,,,,,,,,,
歐華酒店,112,1630,0.4695,3198,5213195,6127955,12741653,45,49,29,0,123
The Riviera Hotel,,,,,,,,,,,,
慶泰大飯店,150,3697,0.7951,2857,10561742,6535350,17786302,33,60,31,12,136
Gala Hotel,,,,,,,,,,,,
天成大飯店,225,6652,0.9537,3155,20984680,32804962,56742853,80,134,50,64,328
Cosmos Hotel TAIPEI,,,,,,,,,,,,
福容大飯店 台北一館,120,2858,0.7683,3157,9023040,11299453,21817640,36,67,6,10,119
"Fullon Hotel Taipei,Central",,,,,,,,,,,,
首都大飯店,100,2901,0.9358,3462,10043365,4040379,14313048,29,35,45,0,109
Capital Hotel,,,,,,,,,,,,
台北君品大酒店,286,7443,0.8395,4535,33753443,39945121,77148195,119,171,70,0,360
Palais De Chine Hotel Taipei,,,,,,,,,,,,
台北花園大酒店,241,6685,0.8948,2181,14582647,24904624,44490535,65,99,25,28,217
Taipei Garden Hotel,,,,,,,,,,,,
日勝生加賀屋國際溫泉飯店,90,1744,0.6251,6401,11163338,10653960,27202779,77,59,33,13,182
Radium-Kagaya,,,,,,,,,,,,
北投麗禧溫泉酒店,66,1240,0.6061,13670,16950506,9632483,31732343,37,71,4,71,183
Grand View Resort,,,,,,,,,,,,
寒舍艾麗酒店,232,5939,0.8258,6140,36468332,28961801,72352084,88,113,52,0,253
Humble House Hotel Taipei,,,,,,,,,,,,
北投老爺酒店,50,816,0.5265,5673,4628899,2471023,8449160,21,28,19,20,88
Hotel Royal Beitou,,,,,,,,,,,,
台北有園飯店,56,1496,0.8618,2641,3950761,294152,4414550,10,6,7,0,23
U HOTEL TAIPEI,,,,,,,,,,,,
量子酒店,101,2054,0.656,3747,7696122,4114115,13040482,34,37,20,0,91
S Hotel,,,,,,,,,,,,
台北中山雅樂軒酒店,88,2505,0.9183,3939,9866937,722851,11843675,19,13,16,3,51
Aloft Taipei Zhongshan,,,,,,,,,,,,
