Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total
圓山大飯店,500,9492,0.6328,3891,36937805,42972219,91273459,133,294,129,56,612
The Grand Hotel,,,,,,,,,,,,
國賓大飯店,422,8588,0.6784,3809,32708232,66843449,106801973,116,338,49,80,583
The Ambassador Hotel,,,,,,,,,,,,
台北華國大飯店,326,6705,0.6856,3034,20339916,5722555,28513834,85,71,4,48,208
Imperial Hotel Taipei,,,,,,,,,,,,
華泰王子大飯店,216,4403,0.6795,2932,12908809,8411192,23447369,78,91,73,11,253
GLORIA PRINCE HOTEL Taipei,,,,,,,,,,,,
國王大飯店,97,1808,0.6213,1620,2928717,712119,3736766,35,12,20,0,67
Emperor Hotel,,,,,,,,,,,,
豪景大酒店,209,4093,0.6528,2032,8316789,1832761,10409370,43,18,14,0,75
Hotel Riverview Taipei,,,,,,,,,,,,
台北凱撒大飯店,478,11569,0.8068,3538,40929952,17762661,63814546,107,121,22,43,293
Caesar Park Taipei,,,,,,,,,,,,
康華大飯店,215,3941,0.611,2450,9657076,9237647,19683333,59,80,36,0,175
Golden China Hotel,,,,,,,,,,,,
神旺大飯店,268,7120,0.8856,2502,17817535,26273047,47870438,85,216,67,0,368
San Want Hotel,,,,,,,,,,,,
兄弟大飯店,250,5419,0.7225,3477,18841873,36802767,59772412,110,295,72,13,490
Brother Hotel,,,,,,,,,,,,
三德大飯店,284,6757,0.7931,1760,11890773,5196801,19494652,57,63,7,43,170
Santos Hotel,,,,,,,,,,,,
亞都麗緻大飯店,209,3065,0.4888,4185,12827858,13208817,30601907,75,103,35,40,253
The Landis Taipei Hotel,,,,,,,,,,,,
國聯大飯店,243,5191,0.7121,2102,10911996,1503563,13745098,64,29,6,42,141
United Hotel,,,,,,,,,,,,
台北寒舍喜來登大飯店,688,12214,0.5918,5108,62390501,90126821,169124085,194,428,253,32,907
Sheraton Grand Taipei Hotel,,,,,,,,,,,,
老爺大酒店,202,5547,0.9153,4709,26119643,19188855,52091674,78,147,26,44,295
Hotel Royal-Nikko Taipei,,,,,,,,,,,,
福華大飯店,606,10690,0.588,4040,43189000,36503000,96696000,201,298,70,73,642
Howard Plaza Hotel,,,,,,,,,,,,
台北君悅酒店,850,18438,0.7231,5985,110353269,90860973,222337626,132,352,175,74,733
Grand Hyatt Taipei,,,,,,,,,,,,
晶華酒店,538,11856,0.7346,5551,65808656,107979071,221931963,282,579,171,20,1052
Regent Taipei,,,,,,,,,,,,
西華大飯店,343,7854,0.7633,4383,34426822,17044029,57278027,109,156,31,79,375
The Sherwood Hotel Taipei,,,,,,,,,,,,
香格里拉台北遠東國際大飯店,420,7919,0.6285,6640,52583165,46361262,114759461,158,217,69,83,527
"Shangri-La's Far Eastern Plaza Hotel, Taipei",,,,,,,,,,,,
台北威斯汀六福皇宮,288,6365,0.7367,5919,37673457,51847867,99019178,174,282,165,0,621
The Westin Taipei,,,,,,,,,,,,
美麗信花園酒店,203,4973,0.8166,2205,10966202,5091359,21860303,83,66,32,0,181
Miramar Garden Taipei,,,,,,,,,,,,
台北寒舍艾美酒店,160,4082,0.8504,8459,34528328,55447043,103561492,96,219,0,94,409
Le Meridien Taipei Hotel,,,,,,,,,,,,
台北W飯店,405,10441,0.8593,8459,88320806,42634932,148861077,157,200,106,0,463
W Taipei,,,,,,,,,,,,
台北萬豪酒店,318,6796,0.7124,5680,38600492,50060838,110897276,135,303,120,0,558
Taipei Marriott Hotel,,,,,,,,,,,,
台北美福大飯店,146,1946,0.4443,6376,12407717,38285083,54205611,58,237,71,0,366
Grand Mayfull Hotel Taipei,,,,,,,,,,,,
亞士都飯店,40,390,0.325,2427,946702,0,946702,13,0,5,0,18
Astar Hotel,,,,,,,,,,,,
第一大飯店,176,3260,0.6174,1677,5466672,3240700,26430650,14,0,20,12,46
First Hotel,,,,,,,,,,,,
六福客棧,226,4721,0.6963,1466,6920829,7646171,15147634,45,84,7,28,164
The Leofoo Hotel,,,,,,,,,,,,
洛碁大飯店花華本館,112,2603,0.7747,1852,4819879,0,4819879,9,0,2,8,19
Flora Hotel Main,,,,,,,,,,,,
歐華酒店,112,1724,0.5131,3172,5467678,5201473,12012941,42,51,29,0,122
The Riviera Hotel,,,,,,,,,,,,
慶泰大飯店,150,3290,0.7311,2872,9448445,4553908,14525419,33,58,31,12,134
Gala Hotel,,,,,,,,,,,,
天成大飯店,225,6117,0.9062,3199,19566915,22830301,44925610,78,131,50,64,323
Cosmos Hotel TAIPEI,,,,,,,,,,,,
福容大飯店 台北一館,120,2286,0.635,3242,7410729,7302277,15688645,38,69,6,11,124
"Fullon Hotel Taipei,Central",,,,,,,,,,,,
首都大飯店,100,2359,0.7863,3410,8044136,2622707,10851591,29,38,39,0,106
Capital Hotel,,,,,,,,,,,,
台北君品大酒店,286,7060,0.8228,4593,32427516,45857736,82246368,125,172,69,0,366
