Hotel Name,No. of Rooms,No. of Rooms Occupied,Occupancy Rate,Average Room Rate,Room Revenue,F & B Revenue,Total Revenue,Room Dep.,F&B Dep.,Adm. Dep.,Other Dep.,Total
圓山大飯店,500,"10,279",66.32%,"3,728",38322949,49740298,98011134,124,252,136,50,562
The Grand Hotel,,,,,,,,,,,,
國賓大飯店,422,"9,435",72.12%,"3,530",33305059,85656473,127380601,121,352,47,92,612
The Ambassador Hotel,,,,,,,,,,,,
台北華國大飯店,326,"8,114",80.29%,"2,907",23589768,15512317,41920605,86,74,4,48,212
Imperial Hotel Taipei,,,,,,,,,,,,
華泰王子大飯店,210,"5,142",78.99%,"2,937",15103143,13139627,30892316,78,91,75,11,255
GLORIA PRINCE HOTEL Taipei,,,,,,,,,,,,
國王大飯店,97,"1,721",57.23%,"1,702",2929840,712643,3734137,35,12,20,0,67
Emperor Hotel,,,,,,,,,,,,
豪景大酒店,209,"4,463",68.88%,"2,111",9420123,1817804,11500496,48,18,15,0,81
Hotel Riverview Taipei,,,,,,,,,,,,
台北凱撒大飯店,478,"12,564",84.79%,"3,494",43900894,27598875,76492706,108,121,22,48,299
Caesar Park Taipei,,,,,,,,,,,,
康華大飯店,215,"4,179",62.70%,"2,351",9825603,12231609,23075604,58,82,36,0,176
Golden China Hotel,,,,,,,,,,,,
神旺大飯店,268,"7,288",87.72%,"2,793",20355686,35926697,61194964,96,218,58,0,372
San Want Hotel,,,,,,,,,,,,
兄弟大飯店,250,"4,500",58.06%,"3,429",15429072,42785866,62787423,110,295,72,13,490
Brother Hotel,,,,,,,,,,,,
三德大飯店,284,"7,001",79.52%,"1,835",12845775,7538349,22474781,60,75,7,44,186
Santos Hotel,,,,,,,,,,,,
亞都麗緻大飯店,209,"2,995",46.23%,"4,230",12670023,12863362,30893570,79,108,35,43,265
The Landis Taipei Hotel,,,,,,,,,,,,
國聯大飯店,243,"4,940",65.58%,"2,031",10033991,1702563,12916144,64,30,6,46,146
United Hotel,,,,,,,,,,,,
台北寒舍喜來登大飯店,688,"13,992",65.60%,"5,340",74712285,113199050,207426629,208,444,253,34,939
Sheraton Grand Taipei Hotel,,,,,,,,,,,,
老爺大酒店,202,"5,610",89.59%,"4,814",27006408,32434345,66714759,77,143,25,46,291
Hotel Royal-Nikko Taipei,,,,,,,,,,,,
福華大飯店,606,"9,640",51.31%,"3,982",38390000,48575000,104850000,216,310,76,76,678
Howard Plaza Hotel,,,,,,,,,,,,
台北君悅酒店,850,"18,786",71.29%,"5,989",112501830,105311716,244878385,134,359,172,73,738
Grand Hyatt Taipei,,,,,,,,,,,,
晶華酒店,538,"12,866",77.14%,"5,693",73246492,168680327,296238047,294,602,171,21,"1,088"
Regent Taipei,,,,,,,,,,,,
西華大飯店,343,"7,505",70.58%,"4,339",32563743,20968348,59720494,121,168,37,79,405
The Sherwood Hotel Taipei,,,,,,,,,,,,
香格里拉台北遠東國際大飯店,420,"6,884",52.87%,"6,796",46783494,62101487,124880067,160,225,68,83,536
"Shangri-La's Far Eastern Plaza Hotel, Taipei",,,,,,,,,,,,
台北威斯汀六福皇宮,288,"6,167",69.07%,"6,104",37641377,67352374,114815944,121,321,202,0,644
The Westin Taipei,,,,,,,,,,,,
美麗信花園酒店,203,"5,220",82.95%,"2,237",11674800,5646451,23365733,75,60,35,0,170
Miramar Garden Taipei,,,,,,,,,,,,
台北寒舍艾美酒店,160,"3,664",73.87%,"8,758",32089354,63472060,110098843,93,214,0,96,403
Le Meridien Taipei Hotel,,,,,,,,,,,,
台北W飯店,405,"9,389",74.78%,"8,102",76067118,65101204,158966001,165,193,110,0,468
W Taipei,,,,,,,,,,,,
台北萬豪酒店,318,"6,054",61.41%,"5,906",35754446,68691865,126970616,139,311,115,0,565
Taipei Marriott Hotel,,,,,,,,,,,,
台北美福大飯店,146,"2,231",49.29%,"6,545",14601483,49227990,69556331,63,247,78,0,388
Grand Mayfull Hotel Taipei,,,,,,,,,,,,
亞士都飯店,40,363,29.27%,"2,587",939165,0,939165,13,0,6,0,19
Astar Hotel,,,,,,,,,,,,
第一大飯店,176,"3,003",55.04%,"1,686",5063086,3079560,25909346,13,0,19,13,45
First Hotel,,,,,,,,,,,,
六福客棧,226,"5,142",73.39%,"1,548",7961886,7811611,16392516,44,61,7,21,133
The Leofoo Hotel,,,,,,,,,,,,
洛碁大飯店花華本館,112,"3,022",87.04%,"1,856",5608573,0,5608573,9,0,2,8,19
Flora Hotel Main,,,,,,,,,,,,
歐華酒店,112,"1,390",40.03%,"3,259",4530095,5400141,11071170,42,47,30,0,119
The Riviera Hotel,,,,,,,,,,,,
慶泰大飯店,150,"3,292",70.80%,"2,904",9561029,7271599,17431886,34,60,31,12,137
Gala Hotel,,,,,,,,,,,,
天成大飯店,225,"6,422",92.07%,"3,137",20144332,39174746,63119329,93,91,50,58,292
Cosmos Hotel TAIPEI,,,,,,,,,,,,
福容大飯店 台北一館,120,"1,945",52.28%,"3,090",6009394,13835980,21755060,40,66,7,11,124
"Fullon Hotel Taipei,Central",,,,,,,,,,,,
首都大飯店,100,"2,466",79.55%,"3,422",8438657,2624165,13432722,30,36,50,0,116
Capital Hotel,,,,,,,,,,,,
台北君品大酒店,286,"7,376",83.19%,"4,388",32363263,46230047,82385660,119,174,69,0,362
Palais De Chine Hotel Taipei,,,,,,,,,,,,
台北花園大酒店,241,"6,387",85.49%,"2,236",14282263,24725518,44100713,74,109,41,28,252
Taipei Garden Hotel,,,,,,,,,,,,
日勝生加賀屋國際溫泉飯店,90,"1,603",57.46%,"7,231",11590573,10219345,30620998,76,55,36,13,180
Radium-Kagaya,,,,,,,,,,,,
北投麗禧溫泉酒店,66,"1,378",67.35%,"14,198",19564478,11870694,39498299,38,69,3,72,182
Grand View Resort,,,,,,,,,,,,
寒舍艾麗酒店,232,"5,066",70.44%,"6,005",30423850,29265460,65796675,90,116,59,0,265
Humble House Hotel Taipei,,,,,,,,,,,,
北投老爺酒店,50,999,64.45%,"5,803",5796859,2788254,9885602,21,31,1,38,91
Hotel Royal Beitou,,,,,,,,,,,,
台北有園飯店,56,"1,201",69.18%,"2,769",3325492,169841,3709471,10,6,4,3,23
U HOTEL TAIPEI,,,,,,,,,,,,
量子酒店,101,"1,921",61.35%,"3,497",6717995,4698861,12631436,33,33,21,0,87
S Hotel,,,,,,,,,,,,
台北中山雅樂軒酒店,88,"2,307",84.57%,"3,979",9178843,549215,10840847,19,14,16,4,53
Aloft Taipei Zhongshan,,,,,,,,,,,,
